,isbn,title,author,avg_rating,count_rating,count_reviews,date_published,top_genre,genre1,genre2,genre3
4857,9780316081078,Blackout,Mira Grant,4.09,22287.0,1956.0,2012-05-22,"Zombies, Horror, Science Fiction, Fiction, Dystopia, Post Apocalyptic, Young Adult",Zombies,Horror,Science Fiction
4858,9780515150643,Vision in White,Nora Roberts,4.12,136138.0,4521.0,2009-04-28,"Romance, Contemporary Romance, Contemporary, Fiction, Chick Lit, Adult, Audiobook",Romance,Contemporary Romance,Contemporary
4859,9780778313175,Sunrise Point,Robyn Carr,4.24,15223.0,753.0,2012-04-24,"Romance, Contemporary Romance, Contemporary, Fiction, Chick Lit, Audiobook, Adult",Romance,Contemporary Romance,Contemporary
4860,9780515150636,Chasing Fire,Nora Roberts,4.13,39189.0,2214.0,2011-04-12,"Romance, Romantic Suspense, Mystery, Fiction, Contemporary, Contemporary Romance, Suspense",Romance,Romantic Suspense,Mystery
4861,9780440246305,The Affair,Lee Child,4.14,93986.0,4537.0,2011-09-27,"Thriller, Fiction, Mystery, Crime, Action, Suspense, Mystery Thriller",Thriller,Fiction,Mystery
4862,9780307742537,Girl Who Kicked The Hornet's Nest,Stieg Larsson,4.23,713558.0,30728.0,2007-05-01,"Fiction, Mystery, Thriller, Crime, Mystery Thriller, Suspense, Contemporary",Fiction,Mystery,Thriller
4863,9780446619257,The Lion,Nelson DeMille,4.25,31202.0,1299.0,2010-06-08,"Fiction, Thriller, Mystery, Suspense, Mystery Thriller, Terrorism, Crime",Fiction,Thriller,Mystery
4864,9780062100207,Under a Vampire Moon,Lynsay Sands,4.25,12606.0,698.0,2012-01-01,"Paranormal Romance, Romance, Paranormal, Vampires, Fantasy, Urban Fantasy, Adult",Paranormal Romance,Romance,Paranormal
4865,9780345506924,Prey,Linda Howard,3.79,9585.0,730.0,2011-01-01,"Romance, Romantic Suspense, Suspense, Contemporary, Contemporary Romance, Fiction, Mystery",Romance,Romantic Suspense,Suspense
4866,9780345533623,Tricked,Kevin Hearne,4.25,47540.0,1919.0,2012-04-24,"Urban Fantasy, Fantasy, Fiction, Paranormal, Magic, Mythology, Audiobook",Urban Fantasy,Fantasy,Fiction
4867,9781455506637,The Postcard Killers,James Patterson,3.82,28087.0,2182.0,2010-08-16,"Mystery, Fiction, Thriller, Crime, Suspense, Mystery Thriller, Audiobook",Mystery,Fiction,Thriller
4868,9781439180976,I'll Walk Alone,Mary Higgins Clark,3.83,15786.0,1457.0,2011-04-05,"Mystery, Fiction, Suspense, Thriller, Mystery Thriller, Crime, Adult",Mystery,Fiction,Suspense
4869,9780061785658,The Devil Colony,James Rollins,4.18,25983.0,1295.0,2011-06-21,"Thriller, Fiction, Adventure, Mystery, Action, Suspense, Mystery Thriller",Thriller,Fiction,Adventure
4870,9780778313250,A Turn in the Road,Debbie Macomber,4.12,11971.0,1039.0,2011-01-01,"Romance, Fiction, Chick Lit, Contemporary, Contemporary Romance, Womens Fiction, Adult Fiction",Romance,Fiction,Chick Lit
4871,9780307949509,The Girl Who Played with Fire,Stieg Larsson,4.25,895008.0,36374.0,2006-06-01,"Fiction, Mystery, Thriller, Crime, Mystery Thriller, Suspense, Contemporary",Fiction,Mystery,Thriller
4872,9780307949486,The Girl with the Dragon Tattoo,Stieg Larsson,4.16,3040562.0,74945.0,2005-08-01,"Fiction, Mystery, Thriller, Crime, Mystery Thriller, Suspense, Contemporary",Fiction,Mystery,Thriller
4873,9781937007355,Dead Reckoning,Charlaine Harris,3.8,124534.0,6533.0,2011-05-03,"Fantasy, Vampires, Paranormal, Urban Fantasy, Fiction, Romance, Mystery",Fantasy,Vampires,Paranormal
4874,9780425246900,Sixkill,Robert B. Parker,4.04,10443.0,806.0,2011-05-03,"Mystery, Fiction, Crime, Detective, Mystery Thriller, Thriller, Audiobook",Mystery,Fiction,Crime
4875,9780451413208,Betrayal,Christina Dodd,3.98,1472.0,119.0,2012-04-03,"Romance, Romantic Suspense, Contemporary Romance, Suspense, Contemporary, Mystery, Historical Romance",Romance,Romantic Suspense,Contemporary Romance
4876,9780425246924,Just Down the Road,Jodi Thomas,4.22,1814.0,160.0,2012-04-03,"Romance, Contemporary, Contemporary Romance, Fiction, Westerns, Chick Lit, Mystery",Romance,Contemporary,Contemporary Romance
